islet,atoll,TOTAL_INDIGENOUS,Cycas_circinalis,Alocasia_macrorrhizos,Anthurium_andraeanum,Colocasia_esculenta,Cyrtosperma_merkusii,Epipremnum_aureum,Epipremnum_pinnatum,Xanthosoma_sagittifolium,Cocos_nucifera,Livistona_australis,Pritchardia_martii,Pritchardia_pacifica,Thrinax_radiata,Crinum_asiaticum,Crinum_bakeri,Crinum_sp,Hippeastrum_puniceum,Hymenocallis_littoralis,Zephyranthes_rosea,Cordyline_fruticosa,Sansevieria_trifasciata,Sansevieria_sp,Brassavola_nodosa,Corymborkis_veratrifolia,Dendrobium_sp,Epidendrum_sp,Vanda_sp,Tradescanthia_spathacea,Dioscorea_alata,Dioscorea_bulbifera,Dioscorea_sp,Tacca_leontopetaloides,Pandanus_dubius,Pandanus_tectorius,Cladium_mariscus,Cyperus_brevifolius,Cyperus_compressus,Cyperus_ferax,Cyperus_hyalinus,Cyperus_ligularis,Cyperus_javanicus,Cyperus_odoratus,Cyperus_planifolius,Cyperus_polystachyos,Cyperus_rotundus,Cyperus_stolonifer,Cyperus_sp,Eleocharis_geniculata,Fimbristylis_cymosa,Fimbristylis_dichotoma,Fimbristylis_littoralis,Rhynchospora_colorata,Andropogon_glomeratus,Apluda_mutica,Bothriochloa_bladhii,Brachiaria_brizantha,Brachiaria_mutica,Cenchrus_brownii,Cenchrus_ciliaris,Cenchrus_echinatus,Cenchrus_gracillimus,Cenchrus_pilosus,Cenchrus_spinifex,Chloris_barbata,Chrysopogon_aciculatus,Cymbopogon_nardus,Cynodon_dactylon,Cynodon_radiatus,Dactyloctenium_aegyptium,Desmostachya_bipinnata,Digitaria_ciliaris,Digitaria_insularis,Digitaria_setigera,Digitaria_stenotaphrodes,Digitaria_violascens,Digitaria_sp,Echinochloa_crus-galli,Eleusine_indica,Eragrostis_amabilis,Eragrostis_paupera,Eragrostis_prolifera,Eragrostis_scabriflora,Eragrostis_tenella,Eragrostis_variabilis,Eriochloa_meyeriana,Eustachys_petraea,Imperata_cylindrica,Ischaemum_muticum,Ischaemum_polystachyum,Lepturus_repens,Oplismenus_compositus,Paspalum_conjugatum,Paspalum_dilatatum,Paspalum_distichum,Paspalum_laxum,Paspalum_setaceum,Paspalum_vaginatum,Setaria_verticillata,Sporobolus_diandrus,Sporobolus_fertilis,Sporobolus_spartinae,Sporobolus_virginicus,Sporobolus_sp,Stenotaphrum_micranthum,Thuarea_involuta,Zoysia_matrella,Heliconia_latispatha,Heliconia_psittacorum,Heliconia_sp,Strelitzia_reginae,Canna_indica,Alpinia_purpurata,Hedychium_coronarium,Centella_asiatica,Polyscias_filicifolia,Polyscias_fruticosa,Polyscias_guilfoylei,Polyscias_scutellaria,Schefflera_actinophylla,Adenostemma_parviflorum,Ageratum_conyzoides,Ageratum_maritimum,Ambrosia_hispida,Austroeupatorium_inulifolium,Bidens_pilosa,Borrichia_arborescens,Cyanthillium_cinereum,Eclipta_alba,Eleutheranthera_ruderalis,Emilia_sonchifolia,Erigeron_bonariensis,Erigeron_canadensis,Lactuca_sp,Melanthera_nivea,Neurolaena_lobata,Pluchea_carolinensis,Pluchea_indica,Pluchea_odorata,Sonchus_oleraceus,Sphagneticola_trilobata,Synedrella_nodiflora,Tagetes_erecta,Tridax_procumbens,Wollastonia_biflora,Zinnia_elegans,Hippobroma_longiflora,Scaevola_taccada,Cordia_sebestena,Cordia_subcordata,Euploca_procumbens,Heliotropium_anomalum,Heliotropium_curassavicum,Heliotropium_arboreum,Tournefortia_gnaphalodes,Nama_sandwicense,Batis_maritima,Brassica_rapa,Cakile_lanceolata,Lepidium_bidentatum,Lepidium_didymum,Lepidium_virginicum,Lobularia_maritima,Rorippa_sarmentosa,Capparis_spinosa,Crateva_religiosa,Sesuvium_portulacastrum,Achyranthes_aspera,Aerva_lanata,Alternanthera_sessilis,Amaranthus_dubius,Amaranthus_spinosus,Amaranthus_viridis,Atriplex_muelleri,Atriplex_pentandra,Chenopodiastrum_murale,Chenopodium_oahuense,Gomphrena_globosa,Gomphrena_vermicularis,Iresine_diffusa,Salicornia_depressa,Opuntia_cochenillifera,Opuntia_stricta,Spergularia_marina,Frankenia_salina,Boerhavia_diffusa,Boerhavia_repens,Boerhavia_tetrandra,Boerhavia_sp,Bougainvillea_glabra,Bougainvillea_spectabilis,Bougainvillea_sp,Pisonia_grandis,Mirabilis_jalapa,Neea_psychotrioides,Rivina_humilis,Plumbago_auriculata,Coccoloba_uvifera,Persicaria_kawagoeana,Portulaca_grandiflora,Portulaca_lutea,Portulaca_oleracea,Portulaca_pilosa,Portulaca_quadrifida,Sicyos_maximowiczii,Barringtonia_asiatica,Barringtonia_racemosa,Pouteria_campechiana,Sideroxylon_americanum,Abrus_precatorius,Acacia_farnesiana,Adenanthera_pavonina,Caesalpinia_pulcherrima,Canavalia_cathartica,Canavalia_rosea,Canavalia_sericea,Crotalaria_incana,Crotalaria_pallida,Delonix_regia,Dendrolobium_umbellatum,Desmodium_incanum,Erythrina_variegata,Grona_triflora,Guilandina_bonduc,Haematoxylum_campechianum,Indigofera_hirsuta,Inocarpus_fagifer,Intsia_bijuga,Leucaena_leucocephala,Lysiloma_latisiliquum,Macroptilium_atropurpureum,Mucuna_gigantea,Mucuna_sp,Pithecellobium_dulce,Pithecellobium_keyense,Pongamia_pinnata,Prosopis_pallida,Samanea_saman,Schleinitzia_insularum,Senna_alata,Senna_occidentalis,Sesbania_grandiflora,Sophora_tomentosa,Vigna_marina,Suriana_maritima,Casuarina_equisetifolia,Morella_cerifera,Allamanda_cathartica,Asclepias_curassavica,Cascabela_thevetia,Catharanthus_roseus,Cerbera_manghas,Nerium_indicum,Nerium_oleander,Ochrosia_oppositifolia,Plumeria_obtusa,Plumeria_rubra,Rhabdadenia_biflora,Tabernaemontana_divaricata,Enicostema_axillare,Coprosma_sp,Dentella_repens,Erithalis_fruticosa,Ernodea_littoralis,Gardenia_taitense,Gardenia_sp,Guettarda_speciosa,Hexasepalum_serrulatum,Ixora_casei,Kadua_romanzoffiensis,Leptopetalum_biflorum,Morinda_citrifolia,Morinda_pedunculata,Moringa_oleifera,Oldenlandia_corymbosa,Spermacoce_ovaliifolia,Spermacoce_remota,Timonius_uniflorus,Avicennia_germinans,Barleria_cristata,Dicliptera_ciliata,Pseuderanthemum_carruthersii,Ruellia_blechum,Strobilanthes_reptans,Tabebuia_heterophylla,Tecoma_stans,Clerodendrum_buchananii,Coleus_scutellarioides,Ocimum_tenuiflorum,Premna_serratifolia,Vitex_negundo,Vitex_trifolia,Volkameria_inermis,Bonnaya_antipoda,Jasminum_sambac,Striga_angustifolia,Angelonia_angustifolia,Mecardonia_procumbens,Scoparia_dulcis,Capraria_biflora,Polypremum_procumbens,Phyla_nodiflora,Stachytarpheta_jamaicensis,Stachytarpheta_urticifolia,Hernandia_nymphaeifolia,Cassytha_filiformis,Annona_muricata,Cananga_odorata,Calophyllum_inophyllum,Mammea_odorata,Chrysobalanus_icaco,Acalypha_amentacea,Acalypha_hispida,Acalypha_indica,Acalypha_lanceolata,Acalypha_wilkesiana,Aleurites_moluccanus,Codiaeum_variegatum,Euphorbia_atoto,Euphorbia_blodgettii,Euphorbia_chamissonis,Euphorbia_fosbergii,Euphorbia_heterophylla,Euphorbia_hirta,Euphorbia_hypericifolia,Euphorbia_mesembryanthemifolia,Euphorbia_prostrata,Euphorbia_pulcherrima,Euphorbia_thymifolia,Euphorbia_tithymaloides,Euphorbia_trichotoma,Euphorbia_sp,Jatropha_integerrima,Manihot_esculenta,Ricinus_communis,Passiflora_suberosa,Breynia_disticha,Phyllanthus_amarus,Phyllanthus_niruri,Bruguiera_gymnorhiza,Rhizophora_apiculata,Rhizophora_mangle,Rhizophora_stylosa,Tuerna_ulmifolia,Abelmoschus_esculentus,Ceiba_pentandra,Corchorus_torresianus,Hibiscus_rosa-sinensis,Hibiscus_sp,Kleinhovia_hospita,Malvastrum_coromandelianum,Malvaviscus_arboreus,Sida_acuta,Sida_fallax,Sida_rhombifolia,Talipariti_tiliaceum,Thespesia_populnea,Triumfetta_procumbens,Triumfetta_repens,Muntingia_calabura,Waltheria_indica,Conocarpus_erectus,Laguncularia_racemosa,Lumnitzera_littorea,Terminalia_catappa,Terminalia_samoensis,Pemphis_acidula,Syzygium_malaccense,Ludwigia_octovalvis,Peperomia_pellucida,Peperomia_ponapensis,Piper_fragile,Piper_ponapense,Artocarpus_altilis,Ficus_crocata,Ficus_elastica,Ficus_microcarpa,Ficus_prolixa,Ficus_tinctoria,Ficus_sp,Colubrina_asiatica,Laportea_interrupta,Laportea_ruderalis,Pilea_microphylla,Pipturus_argenteus,Procris_pedunculata,Ximenia_americana,Bursera_simaruba,Xylocarpus_granatum,Triphasia_trifolia,Allophylus_timorensis,Dodonaea_viscosa,Soulamea_amara,Kalanchoe_pinnata,Distimake_tuberosus,Ipomoea_alba,Ipomoea_aquatica,Ipomoea_imperati,Ipomoea_indica,Ipomoea_littoralis,Ipomoea_pes-caprae,Ipomoea_violacea,Physalis_angulata,Physalis_lagascae,Solanum_americanum,Solanum_nelsonii,Solanum_nigrum,Tribulus_cistoides,Asplenium_nidus,Diplazium_melanocaulon,Nephrolepis_acutifolia,Nephrolepis_biserrata,Nephrolepis_hirsutula,Nephrolepis_obliterata,Microsorum_grossum,Microsorum_scolopendria,Acrostichum_aureum,Ceratopteris_thalictroides,Haplopteris_ensiformis,Pteris_tripartita,Psilotum_nudum
Suwarrow-Whale_10,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Whale_11,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Whale_12,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Whale_13,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Whale_14,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Whale_15,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_Main,Suwarrow,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_1A,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_1B,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_1C,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_1D,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_2A,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_2B,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_3,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_4,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_5A,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_5B,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwarrow-Brushwood_6,Suwarrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontong_Java-Luangiua,Ontong_Java,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontong_Java-Pelau,Ontong_Java,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
